galaxy,n_points,gdagger_si,ups_disk,chi2,chi2_red,sigma_lo_si,sigma_hi_si,ratio_cH0,ratio_cH0_2pi,ratio_a0
UGC05716,12,6.453162178454732e-11,1.3092596099929315,11.258800600124877,1.1258800600124876,1.6542494244893858e-12,1.6977712997795635e-12,0.09488649007682012,0.5961894003005178,0.5377635148712276
UGC11557,12,4.565178541158424e-11,0.19445742339242278,11.350358057460184,1.1350358057460184,7.588138265656544e-12,8.161107353918692e-12,0.067125814657314,0.4217639323872954,0.3804315450965353
UGC06917,11,1.1650608027079715e-10,0.5781246587775869,10.283505086860433,1.142611676317826,6.8499788029908476e-12,7.277882120483592e-12,0.1713090841946171,1.0763667207980088,0.970884002256643
NGC7331,36,1.5016265426199707e-10,0.3019776579575163,40.31109144111479,1.1856203365033762,1.2942484245313202e-12,1.3055005030026175e-12,0.2207972899102292,1.3873102878290235,1.251355452183309
UGC08550,11,9.155445344911388e-11,0.8987011318271404,10.979539432493052,1.2199488258325613,3.8780993663305165e-12,4.0496354076322835e-12,0.13462052399198005,0.8458456983912259,0.7629537787426156
NGC2366,26,6.189935944282223e-11,0.1908003551859562,30.642964389535038,1.2767901828972932,2.621957289766356e-12,2.737931670890558e-12,0.09101604443078348,0.5718706730851032,0.515827995356852
UGC07524,31,2.547953513733461e-11,1.5444441146152323,37.71967694715914,1.3006785154192806,1.0792721200112157e-12,1.1270104705448383e-12,0.03746478999152663,0.23539821801132896,0.21232945947778842
DDO170,8,3.295071743694994e-11,0.9515405332245813,7.846621230776542,1.3077702051294235,1.9373385102461443e-12,2.0583598446887174e-12,0.04845032306090193,0.3044223579843633,0.2745893119745828
UGC04499,9,5.951135010325795e-11,0.5931332798772255,9.44545510602213,1.3493507294317328,3.49897177724257e-12,3.717544954526378e-12,0.08750474534615116,0.5498085302674283,0.4959279175271496
NGC3972,10,2.8394622013307785e-10,0.283523101666952,10.866590490453442,1.3583238113066802,1.6694627306832656e-11,1.773750446227551e-11,0.4175109729763454,2.6232988109912263,2.3662185011089822
NGC4100,24,7.303268846968466e-11,0.7112764998667511,30.932520327511906,1.406023651250541,1.872171805525937e-12,1.9214270306664107e-12,0.10738635227391165,0.6747283507990528,0.6086057372473722
UGC07125,13,9.509376937576533e-12,0.9413887317175055,16.176669317879234,1.470606301625385,5.591041283051002e-13,5.940301504442232e-13,0.013982468989182671,0.08785444371092677,0.07924480781313777
UGC07399,10,5.028801232027868e-10,0.6609969280066742,11.965689865753124,1.4957112332191405,2.1301193045916257e-11,2.2243387142804347e-11,0.7394286475462092,4.645967213970015,4.1906676933565565
NGC3109,25,2.138109448353147e-10,0.1,34.595140658392864,1.5041365503649071,9.056687669936473e-12,9.457282962490178e-12,0.3143849408150116,1.9753388409274049,1.7817578736276225
UGC06786,45,4.078146483355676e-10,0.3312142414368574,65.50482872696125,1.5233681099293315,3.5149449688615363e-12,3.5455035817689965e-12,0.5996455615460893,3.7676841818218403,3.3984554027963965
F574-1,14,3.232093886425994e-11,1.6738163029812634,18.37850614996352,1.5315421791636268,2.4224401824797036e-12,2.6187114568386162e-12,0.04752430451936184,0.2986040118899827,0.26934115720216617
